run_name,metric,score,eval_accuracy,eval_loss,learning_rate,num_epochs,weight_decay,seed,fp16
_LR2e-05_E3_WD0p02_S42,eval_macro_f1,0.299659653447633,0.2977396726422447,1.6697160005569458,2e-05,3,0.02,42,True
_LR3e-05_E4_WD0p02_S42,eval_macro_f1,0.2938818448864055,0.3008573655494934,1.706390380859375,3e-05,4,0.02,42,True
_LR3e-05_E5_WD0p01_S42,eval_macro_f1,0.2904159099259653,0.2852689010132502,1.9160468578338623,3e-05,5,0.01,42,True
_LR3e-05_E4_WD0p01_S42,eval_macro_f1,0.28896264601328253,0.2915042868277475,1.7870196104049683,3e-05,4,0.01,42,True
_LR3e-05_E3_WD0p02_S42,eval_macro_f1,0.2878809328519274,0.3008573655494934,1.6823421716690063,3e-05,3,0.02,42,True
_LR2e-05_E5_WD0p01_S42,eval_macro_f1,0.28273916384429654,0.2930631332813718,1.7919386625289917,2e-05,5,0.01,42,True
_LR2e-05_E3_WD0p01_S42,eval_macro_f1,0.2821056719361749,0.2852689010132502,1.6864101886749268,2e-05,3,0.01,42,True
_LR3e-05_E5_WD0p02_S42,eval_macro_f1,0.2811311517419624,0.2790335151987529,1.9299067258834839,3e-05,5,0.02,42,True
_LR2e-05_E4_WD0p01_S42,eval_macro_f1,0.27888693101564416,0.284489477786438,1.6833922863006592,2e-05,4,0.01,42,True
_LR3e-05_E3_WD0p01_S42,eval_macro_f1,0.2787819138665246,0.2852689010132502,1.6737889051437378,3e-05,3,0.01,42,True
_LR2e-05_E4_WD0p02_S42,eval_macro_f1,0.2724274044926968,0.2712392829306313,1.7602695226669312,2e-05,4,0.02,42,True
_LR2e-05_E5_WD0p02_S42,eval_macro_f1,0.26159702403961155,0.269680436477007,1.788209080696106,2e-05,5,0.02,42,True
